iter	RMSE
0	7.674795493
1	7.464410491
2	7.255747912
3	7.055440991
4	6.860987025
5	6.674085536
6	6.493511457
7	6.310754502
8	6.145020156
9	5.985158601
10	5.824073525
11	5.669018731
12	5.519082695
13	5.367897825
14	5.219150719
15	5.079955693
16	4.943388586
17	4.814667407
18	4.681454308
19	4.556041992
20	4.428450556
21	4.311014841
22	4.19585418
23	4.08632095
24	3.978161866
25	3.873057919
26	3.770335418
27	3.676004584
28	3.580093056
29	3.488002729
30	3.396433317
31	3.307162053
32	3.221874585
33	3.137721579
34	3.061212984
35	2.985308091
36	2.91068796
37	2.837873426
38	2.771015668
39	2.700681117
40	2.635698168
41	2.569841036
42	2.50856218
43	2.449008579
44	2.391234283
45	2.33661362
46	2.279336213
47	2.223876426
48	2.171659739
49	2.120226282
50	2.070471139
51	2.024860742
52	1.978343993
53	1.934890091
54	1.891695217
55	1.850443482
56	1.810518256
57	1.771377075
58	1.734418099
59	1.696700958
60	1.66185903
61	1.626185828
62	1.593832285
63	1.562022021
64	1.532514507
65	1.503737231
66	1.475980035
67	1.448039052
68	1.420509151
69	1.395858952
70	1.371764177
71	1.34736053
72	1.324537241
73	1.302997025
74	1.280943702
75	1.26130142
76	1.241955174
77	1.223605983
78	1.205296113
79	1.188343399
80	1.172553312
81	1.157885123
82	1.142928427
83	1.128615941
84	1.11377203
85	1.10078467
86	1.088582281
87	1.076627664
88	1.064507067
89	1.052614816
90	1.041160271
91	1.031169157
92	1.021729666
93	1.012239282
94	1.002989909
95	0.9940215615
96	0.9859779453
97	0.9778180659
98	0.9699798127
99	0.9622722766
100	0.9550278545
101	0.948063046
102	0.9415284476
103	0.9352651677
104	0.9294547267
105	0.9234831163
106	0.9184119325
107	0.9131555431
108	0.9082514426
109	0.9040635983
110	0.8998741973
111	0.8956039219
112	0.8914702701
113	0.8876760916
114	0.884373848
115	0.8810976117
116	0.8779176752
117	0.875090721
118	0.8722542583
119	0.8693129556
120	0.8672596924
121	0.8650420361
122	0.8626896575
123	0.8603457192
124	0.858078577
125	0.855670274
126	0.8534404843
127	0.8514493039
128	0.8495007799
129	0.8477261914
130	0.8461892604
131	0.8446467037
132	0.8430644371
133	0.8415106269
134	0.8400882423
135	0.8388501489
136	0.837408392
137	0.8359046464
138	0.8346501997
139	0.8335239992
140	0.8323285953
141	0.8311752349
142	0.8303561685
143	0.8293020142
144	0.8284474748
145	0.8275541043
146	0.826666226
147	0.8259865025
148	0.8252856626
149	0.824503382
150	0.8236037843
151	0.823053968
152	0.8224209422
153	0.8218143866
154	0.8210794091
155	0.820382027
156	0.8198356049
157	0.8192772382
158	0.8188344107
159	0.8183323951
160	0.8178840723
161	0.8174301448
162	0.8168507024
163	0.8164818386
164	0.8159881371
165	0.8154199873
166	0.8149416502
167	0.8146785673
168	0.8142403161
169	0.8139245863
170	0.8135243478
171	0.8132459358
172	0.8129761029
173	0.8125906373
174	0.8121217574
175	0.8117184987
176	0.8115348785
177	0.8111781111
178	0.8108893031
179	0.8105546441
180	0.810174346
181	0.809657042
182	0.8093783706
183	0.8090875767
184	0.8088515647
185	0.8085294351
186	0.8083356883
187	0.8080127543
188	0.8077900383
189	0.807419019
190	0.8070654393
191	0.8067011648
192	0.8065994274
193	0.8064329382
194	0.8060685623
195	0.8058929905
196	0.8057208822
197	0.8054648281
198	0.8053750959
199	0.8051168595
200	0.804987881
201	0.8047817473
202	0.8047082436
203	0.8045495055
204	0.8043576127
205	0.8041926347
206	0.8039426265
207	0.8036648614
208	0.803636065
209	0.8034609585
210	0.8032991779
211	0.8031977055
212	0.8031684634
213	0.8029189006
214	0.8027370684
215	0.8025295386
216	0.8022984761
217	0.8021194761
218	0.8018601959
219	0.8016340161
220	0.801455816
221	0.801369635
222	0.8010710416
223	0.8009889675
224	0.8008841375
225	0.8008638961
226	0.8006328927
227	0.8004942367
228	0.8004653161
229	0.8003607248
230	0.8002277931
231	0.8001742873
232	0.799843301
233	0.7995191498
234	0.7993481912
235	0.7992604754
236	0.7990746509
237	0.7988046505
238	0.7987065009
239	0.7986131815
240	0.7983471332
241	0.7979251159
242	0.7976878278
243	0.7972558801
244	0.7971112925
245	0.7969028851
246	0.7966551359
247	0.79654529
248	0.796543007
249	0.7964516105
250	0.7963595431
251	0.7962215055
252	0.7961945308
253	0.7961259081
254	0.7959708079
255	0.7955814255
256	0.7953479525
257	0.7950522352
258	0.7948535947
259	0.7946340853
260	0.7946280739
261	0.794496929
262	0.7944454566
263	0.7943238755
264	0.7941225213
265	0.7940586916
266	0.7939700365
267	0.7938417814
268	0.7936861513
269	0.7934175058
270	0.7933380232
271	0.7931854083
272	0.7930020792
273	0.7926440554
274	0.7924259469
275	0.7920296784
276	0.7920124262
277	0.7918580516
278	0.7916544615
279	0.7913706868
280	0.7911318939
281	0.7910322789
282	0.7908067305
283	0.7906109817
284	0.7902346238
285	0.7900017843
286	0.7897776118
287	0.78977597
288	0.7895198207
289	0.7894617336
290	0.7891873343
291	0.7890883578
292	0.7886866136
293	0.7884296813
294	0.7882804372
295	0.7882631306
296	0.7880817966
297	0.7879922993
298	0.7877503145
299	0.7875706506
300	0.7873534329
301	0.7872330826
302	0.7871550854
303	0.7870110449
304	0.7868500753
305	0.7866185557
306	0.7865095947
