iter	Passed	Remaining
0	31	62938
1	64	64005
2	94	62826
3	128	64077
4	163	65318
5	222	74081
6	238	67821
7	275	68579
8	315	69698
9	358	71405
10	409	74096
11	421	69839
12	461	70602
13	478	67889
14	496	65678
15	517	64136
16	560	65419
17	591	65160
18	624	65109
19	667	66043
20	724	68295
21	756	68025
22	784	67437
23	805	66286
24	823	65060
25	851	64628
26	881	64445
27	945	66560
28	1012	68803
29	1081	71017
30	1159	73642
31	1215	74737
32	1268	75596
33	1306	75567
34	1342	75378
35	1371	74802
36	1409	74775
37	1441	74431
38	1483	74571
39	1550	75969
40	1603	76631
41	1648	76865
42	1684	76676
43	1721	76544
44	1752	76138
45	1783	75742
46	1819	75605
47	1851	75312
48	1891	75331
49	1927	75158
50	1969	75269
51	2002	75014
52	2035	74788
53	2077	74856
54	2102	74365
55	2142	74365
56	2193	74781
57	2249	75316
58	2302	75739
59	2325	75197
60	2357	74935
61	2380	74400
62	2409	74073
63	2440	73837
64	2465	73391
65	2510	73569
66	2558	73808
67	2583	73400
68	2623	73423
69	2663	73445
70	2693	73192
71	2728	73075
72	2756	72773
73	2789	72596
74	2828	72587
75	2858	72352
76	2888	72128
77	2921	71983
78	2958	71945
79	3004	72097
80	3028	71747
81	3064	71679
82	3072	70974
83	3105	70838
84	3138	70716
85	3167	70496
86	3200	70380
87	3236	70322
88	3267	70166
89	3285	69727
90	3319	69629
91	3362	69731
92	3395	69630
93	3418	69323
94	3455	69283
95	3526	69940
96	3589	70412
97	3621	70294
98	3653	70153
99	3684	70006
100	3713	69815
101	3748	69753
102	3783	69691
103	3815	69556
104	3861	69683
105	3884	69416
106	3905	69096
107	3927	68801
108	3968	68839
109	3999	68726
110	4037	68713
111	4074	68679
112	4108	68613
113	4140	68491
114	4176	68457
115	4194	68121
116	4224	67993
117	4256	67886
118	4288	67785
119	4338	67971
120	4346	67502
121	4355	67046
122	4385	66916
123	4421	66893
124	4459	66889
125	4481	66652
126	4557	67210
127	4595	67211
128	4629	67138
129	4650	66892
130	4687	66883
131	4694	66429
132	4724	66324
133	4781	66578
134	4787	66145
135	4816	66012
136	4852	65992
137	4877	65804
138	4903	65647
139	4952	65801
140	4998	65898
141	5053	66127
142	5068	65814
143	5112	65894
144	5146	65841
145	5181	65798
146	5226	65879
147	5239	65566
148	5275	65533
149	5304	65420
150	5334	65326
151	5351	65061
152	5375	64892
153	5399	64721
154	5459	64982
155	5504	65068
156	5545	65094
157	5567	64907
158	5579	64598
159	5607	64480
160	5638	64404
161	5678	64430
162	5715	64413
163	5738	64238
164	5769	64162
165	5801	64099
166	5839	64094
167	5856	63859
168	5900	63926
169	5914	63670
170	5952	63668
171	5979	63554
172	5999	63356
173	6029	63273
174	6072	63328
175	6112	63347
176	6120	63040
177	6133	62784
178	6145	62524
179	6159	62280
180	6171	62024
181	6185	61790
182	6199	61557
183	6212	61311
184	6217	60997
185	6230	60762
186	6242	60524
187	6255	60296
188	6267	60058
189	6280	59831
190	6295	59623
191	6309	59413
192	6315	59128
193	6328	58916
194	6341	58698
195	6354	58484
196	6363	58244
197	6376	58033
198	6389	57822
199	6402	57626
200	6415	57422
201	6429	57226
202	6433	56953
203	6447	56766
204	6461	56576
205	6475	56390
206	6490	56217
207	6522	56193
208	6530	55962
209	6542	55770
210	6555	55582
211	6560	55328
212	6563	55064
213	6577	54890
214	6589	54706
215	6601	54525
216	6613	54344
217	6635	54241
218	6664	54194
219	6680	54053
220	6708	54000
221	6732	53923
222	6758	53857
223	6786	53805
224	6812	53744
225	6820	53541
226	6848	53487
227	6876	53444
228	6888	53271
229	6921	53269
230	6943	53171
231	6972	53137
232	7003	53116
233	7031	53067
234	7067	53077
235	7102	53084
236	7130	53046
237	7165	53048
238	7195	53015
239	7218	52933
240	7246	52893
241	7278	52874
242	7304	52816
243	7332	52769
244	7358	52711
245	7381	52628
246	7419	52658
247	7454	52660
248	7457	52438
249	7484	52394
250	7506	52308
251	7550	52371
252	7556	52181
253	7588	52161
254	7628	52205
255	7664	52214
256	7703	52246
257	7738	52251
258	7775	52263
259	7809	52265
260	7814	52066
261	7833	51964
262	7843	51805
263	7872	51764
264	7902	51741
265	7933	51719
266	7960	51671
267	7989	51633
268	8016	51585
269	8043	51538
270	8080	51553
271	8096	51438
272	8125	51403
273	8159	51400
274	8188	51363
275	8219	51340
276	8231	51200
277	8264	51190
278	8298	51187
279	8322	51122
280	8356	51119
281	8378	51045
282	8405	50996
283	8426	50912
284	8456	50887
285	8486	50859
286	8512	50809
287	8517	50629
288	8545	50594
289	8574	50558
290	8611	50573
291	8646	50576
292	8679	50565
293	8706	50520
294	8740	50515
295	8745	50348
296	8784	50371
297	8814	50342
298	8844	50317
299	8874	50286
300	8909	50289
301	8946	50301
302	8968	50232
303	8993	50175
304	9021	50135
305	9044	50071
306	9070	50019
307	9100	49992
308	9132	49976
309	9160	49938
310	9187	49894
311	9213	49847
312	9241	49806
313	9270	49775
314	9288	49687
315	9302	49576
316	9316	49462
317	9332	49362
318	9346	49253
319	9361	49146
320	9374	49034
321	9387	48922
322	9399	48802
323	9411	48683
324	9423	48566
325	9436	48455
326	9449	48347
327	9464	48248
328	9479	48148
329	9495	48051
330	9509	47948
331	9524	47850
332	9537	47747
333	9553	47653
334	9564	47536
335	9578	47435
336	9592	47333
337	9605	47232
338	9619	47131
339	9632	47029
340	9645	46924
341	9658	46823
342	9674	46738
343	9695	46675
344	9720	46632
345	9732	46525
346	9746	46426
347	9758	46326
348	9772	46230
349	9786	46135
350	9799	46038
351	9813	45944
352	9826	45848
353	9839	45752
354	9852	45656
355	9865	45557
356	9878	45464
357	9892	45372
358	9905	45279
359	9918	45186
360	9931	45090
361	9943	44993
362	9957	44903
363	9970	44813
364	9982	44716
365	9996	44628
366	10008	44533
367	10020	44440
368	10034	44353
369	10048	44266
370	10062	44183
371	10077	44103
372	10091	44018
373	10104	43931
374	10117	43844
375	10131	43757
376	10144	43674
377	10158	43591
378	10171	43504
379	10184	43418
380	10198	43339
381	10212	43257
382	10225	43172
383	10240	43094
384	10254	43014
385	10267	42933
386	10279	42846
387	10293	42763
388	10305	42680
389	10319	42603
390	10332	42517
391	10344	42434
392	10358	42355
393	10370	42271
394	10383	42189
395	10393	42100
396	10407	42021
397	10418	41937
398	10432	41862
399	10448	41793
400	10464	41728
401	10479	41657
402	10493	41583
403	10506	41504
404	10519	41427
405	10534	41360
406	10548	41285
407	10562	41212
408	10574	41135
409	10587	41057
410	10599	40981
411	10613	40907
412	10625	40831
413	10639	40757
414	10652	40686
415	10666	40615
416	10679	40541
417	10692	40468
418	10705	40394
419	10729	40363
420	10748	40312
421	10761	40241
422	10775	40171
423	10788	40102
424	10801	40027
425	10814	39958
426	10826	39882
427	10839	39810
428	10851	39738
429	10854	39630
430	10867	39562
431	10880	39491
432	10893	39421
433	10906	39354
434	10919	39286
435	10932	39217
436	10945	39148
437	10959	39083
438	10972	39017
439	10987	38955
440	11001	38891
441	11014	38824
442	11028	38763
443	11043	38702
444	11055	38632
445	11071	38577
446	11085	38512
447	11098	38449
448	11112	38384
449	11124	38318
450	11137	38252
451	11148	38181
452	11161	38116
453	11175	38054
454	11189	37993
455	11203	37933
456	11217	37874
457	11231	37814
458	11244	37752
459	11259	37693
460	11272	37632
